app_slug,app_name,bundle_id,app_version,app_build,external_version_id,rn_guess,rn_evidence_class,component,member,bytes,compressed_bytes,compressed_pct_uncompressed,pct_main_app_uncompressed,pct_main_app_compressed,pct_source_ipa,pct_dump_ipa,context_only,dump_report,dump_ipa
facebook-messenger,Facebook Messenger,com.facebook.Messenger,562.0.0,975021560,885556428,unknown,native_rn_marker_without_version,js_bundle,Payload/Messenger.app/main.hbcbundle,1703349,902350,52.98,0.88,0.84,0.51,0.70,false,tmp/ios-dumps/com.facebook.Messenger_562.0.0_975021560_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.facebook.Messenger_562.0.0_975021560_frida-ipa-extract-all-binaries.ipa
facebook-messenger,Facebook Messenger,com.facebook.Messenger,562.0.0,975021560,885556428,unknown,native_rn_marker_without_version,rn_carrier_macho,Payload/Messenger.app/Frameworks/LightSpeedCore.framework/LightSpeedCore,100829536,46841360,46.46,52.28,43.84,26.45,36.12,true,tmp/ios-dumps/com.facebook.Messenger_562.0.0_975021560_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.facebook.Messenger_562.0.0_975021560_frida-ipa-extract-all-binaries.ipa
facebook-messenger,Facebook Messenger,com.facebook.Messenger,562.0.0,975021560,885556428,unknown,native_rn_marker_without_version,rn_carrier_macho,Payload/Messenger.app/Messenger,413728,141073,34.10,0.21,0.13,0.08,0.11,true,tmp/ios-dumps/com.facebook.Messenger_562.0.0_975021560_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.facebook.Messenger_562.0.0_975021560_frida-ipa-extract-all-binaries.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2606.0,222553,882242969,0.82.x or newer,versioned_rn,js_bundle,Payload/Shopify.app/main.jsbundle,38722571,14984869,38.70,22.09,21.25,11.47,16.38,false,tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2606.0,222553,882242969,0.82.x or newer,versioned_rn,named_native_runtime,Payload/Shopify.app/Frameworks/hermesvm.framework/hermesvm,6100416,1691682,27.73,3.48,2.40,1.29,1.85,false,tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2606.0,222553,882242969,0.82.x or newer,versioned_rn,rn_carrier_macho,Payload/Shopify.app/Frameworks/hermesvm.framework/hermesvm,6100416,1691682,27.73,3.48,2.40,1.29,1.85,true,tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2606.0,222553,882242969,0.82.x or newer,versioned_rn,rn_carrier_macho,Payload/Shopify.app/Shopify,32417200,12816884,39.54,18.50,18.17,9.81,14.01,true,tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2621.0,282789,886020173,0.82.x or newer,versioned_rn,js_bundle,Payload/Shopify.app/main.jsbundle,44068630,16073589,36.47,23.49,21.04,11.64,16.45,false,tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2621.0,282789,886020173,0.82.x or newer,versioned_rn,named_native_runtime,Payload/Shopify.app/Frameworks/hermesvm.framework/hermesvm,6100416,1691683,27.73,3.25,2.21,1.23,1.73,false,tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2621.0,282789,886020173,0.82.x or newer,versioned_rn,rn_carrier_macho,Payload/Shopify.app/Frameworks/hermesvm.framework/hermesvm,6100416,1691683,27.73,3.25,2.21,1.23,1.73,true,tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2621.0,282789,886020173,0.82.x or newer,versioned_rn,rn_carrier_macho,Payload/Shopify.app/Shopify,34772944,13700782,39.40,18.53,17.94,9.92,14.02,true,tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.ipa
